date,EX5.MELT_TEMP,EX4.MELT_TEMP,EX3.MELT_TEMP,EX2.MELT_TEMP,EX1.Z1_PV,EX1.Z2_PV,EX1.Z3_PV,EX1.Z4_PV,EX1.A1_PV,EX1.A2_PV,EX1.H1_PV,EX1.H2_PV,EX1.H3_PV,EX1.H4_PV,EX1.H2O_PV,EX1.MELT_P_PV,EX1.MD_PV,EX1.MD_TQ,passorfail
2020 10 30 00:07:44,297,221,251,267,210,219,229,239,240,239,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:07:49,297,221,251,267,209,219,229,239,240,239,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:07:54,297,221,251,267,210,220,230,239,240,239,240,240,240,40,41,0,71.2215,72,0
2020 10 30 00:07:59,297,222,251,267,209,220,230,240,240,239,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:08:04,297,222,251,267,209,220,229,240,240,239,240,240,240,40,41,0,71.1739,72,0
2020 10 30 00:08:09,297,222,251,267,209,220,229,239,240,239,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:08:14,297,221,251,267,209,219,230,239,240,239,240,240,240,40,41,0,71.2215,72,0
2020 10 30 00:08:19,297,221,251,267,209,219,230,239,239,239,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:08:24,297,221,251,267,209,219,229,240,240,239,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:08:29,297,221,251,267,209,219,230,240,240,239,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:08:34,297,221,251,267,209,219,230,239,239,239,240,240,240,40,41,0,71.1858,72,0
2020 10 30 00:08:39,297,221,251,267,209,220,230,240,240,239,240,240,240,40,41,0,71.2215,72,0
2020 10 30 00:08:44,297,221,251,267,209,219,229,239,240,239,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:08:49,297,221,251,267,209,219,229,239,240,239,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:08:54,297,221,251,267,209,219,229,240,240,239,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:08:59,297,221,251,267,209,219,230,239,240,239,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:09:04,297,221,251,267,209,219,230,240,240,239,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:09:09,297,221,251,267,209,219,230,239,240,239,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:09:14,297,221,251,267,209,219,230,240,240,240,240,240,240,40,41,0,71.2096,72,0
2020 10 30 00:09:19,297,221,251,267,209,220,230,239,240,240,240,240,239,40,41,0,71.2096,72,0
2020 10 30 00:09:24,297,221,251,267,209,219,230,239,240,240,240,240,239,40,41,0,71.1977,72,0
2020 10 30 00:09:29,297,221,251,267,209,219,230,240,240,240,240,240,239,40,41,0,71.2215,72,0
2020 10 30 00:09:34,297,221,251,267,209,219,230,239,240,240,240,240,239,40,41,0,71.1977,72,0
2020 10 30 00:09:39,297,221,251,267,209,219,230,239,240,240,240,240,239,40,41,0,71.2096,72,0
2020 10 30 00:09:44,297,221,251,267,209,220,229,240,239,240,240,240,239,40,41,0,71.1977,72,0
2020 10 30 00:09:49,297,221,251,267,209,219,229,240,240,240,240,240,239,40,41,0,71.1977,72,0
2020 10 30 00:09:54,297,221,251,267,209,219,230,239,240,240,240,240,239,40,41,0,71.2096,72,0
2020 10 30 00:09:59,297,221,251,267,209,219,230,239,240,240,240,240,239,40,41,0,71.2096,72,0
2020 10 30 00:10:04,297,221,251,267,209,219,230,240,240,239,240,240,239,40,41,0,71.1858,72,0
2020 10 30 00:10:09,297,221,251,267,209,219,229,240,240,240,240,239,239,40,41,0,71.1858,72,0
2020 10 30 00:10:14,297,221,251,267,209,219,229,239,239,239,240,240,239,40,41,0,71.2096,72,0
2020 10 30 00:10:19,297,221,251,267,209,219,229,240,239,239,240,240,239,40,41,0,71.2096,72,0
2020 10 30 00:10:24,297,221,251,267,209,219,230,240,240,240,240,240,239,40,41,0,71.2096,72,0
2020 10 30 00:10:29,297,221,251,267,209,219,230,239,239,239,240,240,239,40,41,0,71.1977,72,0
2020 10 30 00:10:34,297,221,251,267,209,219,230,240,239,239,240,239,239,40,41,0,71.1501,72,0
2020 10 30 00:10:39,297,221,251,267,209,219,229,239,239,239,240,239,239,40,41,0,71.2096,72,0
2020 10 30 00:10:44,297,221,251,267,209,219,229,240,239,239,240,239,239,40,41,0,71.2096,72,0
2020 10 30 00:10:49,297,221,251,267,209,219,229,240,239,240,240,240,239,40,41,0,71.1858,72,0
2020 10 30 00:10:54,297,221,251,267,209,219,230,240,239,239,240,239,239,40,41,0,71.2096,72,0
2020 10 30 00:10:59,297,221,251,267,209,220,230,240,239,240,240,239,239,40,41,0,71.2096,72,0
2020 10 30 00:11:04,297,221,251,267,209,219,230,240,239,240,240,240,239,40,41,0,71.2096,72,0
2020 10 30 00:11:09,297,221,251,267,209,219,230,240,239,239,240,240,239,40,41,0,71.2215,72,0
2020 10 30 00:11:14,297,221,251,267,209,219,230,240,239,240,240,240,239,40,41,0,71.2096,72,0
2020 10 30 00:11:19,297,221,251,267,209,219,230,240,239,240,240,240,239,40,41,0,71.2096,72,0
2020 10 30 00:11:24,297,221,251,267,209,219,230,240,239,240,240,239,240,40,41,0,71.1977,72,0
2020 10 30 00:11:29,297,221,251,267,209,219,230,240,239,240,240,239,240,40,41,0,71.2096,72,0
2020 10 30 00:11:34,297,221,251,267,209,219,230,240,239,240,239,239,240,40,41,0,71.1858,72,0
2020 10 30 00:11:39,297,221,251,267,209,219,230,240,239,240,240,240,239,40,41,0,71.2096,72,0
2020 10 30 00:11:44,297,221,251,267,209,220,229,240,239,240,240,240,239,40,41,0,71.1977,72,0
2020 10 30 00:11:49,297,221,251,267,209,219,229,240,239,240,239,239,239,40,41,0,71.2096,72,0
2020 10 30 00:11:54,297,221,251,267,210,219,229,240,239,240,239,239,239,40,41,0,71.162,72,0
2020 10 30 00:11:59,297,221,251,267,210,220,229,240,239,240,239,239,239,40,41,0,71.1977,72,0
2020 10 30 00:12:04,297,221,251,267,210,220,229,240,239,240,239,239,239,40,41,0,71.1977,72,0
2020 10 30 00:12:09,297,221,251,267,210,220,230,240,239,240,239,239,239,40,41,0,71.2096,72,0
2020 10 30 00:12:14,297,221,251,267,210,219,230,240,239,240,239,239,239,40,41,0,71.2096,72,0
2020 10 30 00:12:19,297,221,251,267,210,220,230,239,239,240,239,239,239,40,41,0,71.1977,72,0
2020 10 30 00:12:24,297,221,251,267,210,220,230,240,239,240,239,239,239,40,41,0,71.1858,72,0
2020 10 30 00:12:29,297,221,251,267,210,220,230,240,239,240,239,239,239,40,41,0,71.2096,72,0
2020 10 30 00:12:34,297,221,251,267,211,220,229,240,239,240,239,239,239,40,41,0,71.1858,72,0
2020 10 30 00:12:39,297,221,251,267,211,219,229,240,239,240,239,239,239,40,41,0,71.1858,72,0
2020 10 30 00:12:44,297,221,251,267,211,220,230,240,239,240,239,239,239,40,41,0,71.1858,72,0
2020 10 30 00:12:49,297,221,251,267,211,220,230,239,239,240,239,239,239,40,41,0,71.1977,72,0
2020 10 30 00:12:54,297,222,251,267,211,220,230,239,239,240,239,239,239,40,41,0,71.1977,72,0
2020 10 30 00:12:59,297,221,251,267,211,220,229,239,239,240,239,239,239,40,41,0,71.2096,72,0
2020 10 30 00:13:04,297,221,251,267,211,220,229,240,239,240,239,239,239,40,41,0,71.1977,72,0
2020 10 30 00:13:09,297,221,251,267,211,220,229,239,239,240,239,239,239,40,41,0,71.2096,72,0
2020 10 30 00:13:14,297,221,251,267,211,219,229,239,239,240,239,239,239,40,41,0,71.162,72,0
2020 10 30 00:13:19,297,221,251,267,211,219,229,239,239,240,239,239,239,40,41,0,71.2096,72,0
2020 10 30 00:13:24,297,222,251,267,211,220,229,239,239,240,239,239,239,40,41,0,71.1977,72,0
2020 10 30 00:13:29,297,221,251,267,211,219,229,240,239,240,239,239,239,40,41,0,71.1858,72,0
2020 10 30 00:13:34,297,222,251,267,210,219,229,239,239,240,239,239,239,40,41,0,71.2096,72,0
2020 10 30 00:13:39,297,222,251,267,210,219,230,239,239,239,239,239,239,40,41,0,71.2096,72,0
2020 10 30 00:13:44,297,222,251,267,210,219,230,239,239,239,239,239,239,40,41,0,71.2096,72,0
2020 10 30 00:13:49,297,222,251,267,210,219,230,239,239,239,239,239,239,40,41,0,71.1977,72,0
2020 10 30 00:13:54,297,222,251,267,210,219,230,239,239,239,239,239,239,40,41,0,71.1977,72,0
2020 10 30 00:13:59,297,222,251,267,210,219,230,239,239,239,239,239,239,40,41,0,71.1977,72,0
2020 10 30 00:14:04,297,222,251,267,210,219,230,239,239,239,239,239,239,40,41,0,71.2096,72,0
2020 10 30 00:14:09,297,222,251,267,210,219,230,239,239,239,239,239,239,40,41,0,71.2215,72,0
2020 10 30 00:14:14,297,222,251,267,210,219,230,239,239,239,239,239,239,40,41,0,71.1858,72,0
2020 10 30 00:14:19,297,222,251,267,209,219,230,239,239,239,239,240,239,40,41,0,71.2215,72,0
2020 10 30 00:14:24,297,222,251,267,209,219,230,239,239,239,239,240,239,40,41,0,71.1977,72,0
2020 10 30 00:14:29,297,222,251,267,209,219,230,240,239,239,239,240,240,40,41,0,71.1858,72,0
2020 10 30 00:14:34,297,222,251,267,209,219,230,240,240,239,239,240,239,40,41,0,71.2096,72,0
2020 10 30 00:14:39,297,222,251,267,209,219,230,240,239,239,239,240,240,40,41,0,71.2334,72,0
2020 10 30 00:14:44,297,221,251,267,208,219,230,240,240,239,239,240,240,40,41,0,71.1739,72,0
2020 10 30 00:14:49,297,222,251,267,208,219,230,240,239,239,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:14:54,297,222,251,267,207,219,230,240,239,239,240,240,240,40,41,0.0438,71.2096,72,0
2020 10 30 00:14:59,297,222,251,267,207,219,230,240,239,239,240,240,240,40,41,0.0438,71.1977,72,0
2020 10 30 00:15:04,297,222,251,267,206,219,229,240,239,239,240,240,240,40,41,0.0875,71.2215,72,0
2020 10 30 00:15:09,297,222,251,267,206,219,230,240,239,239,240,240,240,40,41,0.0875,71.1858,72,0
2020 10 30 00:15:14,297,222,251,267,206,219,230,240,239,240,240,240,240,40,41,0.0875,71.1739,72,0
2020 10 30 00:15:19,297,222,251,267,206,219,230,240,239,240,240,240,240,40,41,0.0875,71.1977,72,0
2020 10 30 00:15:24,297,222,251,267,206,219,230,240,240,240,240,240,240,40,41,0.0875,71.2096,72,0
2020 10 30 00:15:29,297,222,251,267,206,219,230,240,240,240,240,240,240,40,41,0.0875,71.1977,72,0
2020 10 30 00:15:34,297,222,251,267,207,219,230,240,240,240,240,240,240,40,41,0.0875,71.2215,72,0
2020 10 30 00:15:39,297,222,251,267,207,219,230,240,240,240,240,240,240,40,41,0.0875,71.1977,72,0
2020 10 30 00:15:44,297,222,251,267,207,219,230,240,240,240,240,240,240,40,41,0.0875,71.2096,72,0
2020 10 30 00:15:49,297,222,251,267,207,219,230,240,240,240,240,240,240,40,41,0.0438,71.1858,72,0
2020 10 30 00:15:54,297,222,251,267,207,219,230,240,240,240,240,240,240,40,41,0.0438,71.1977,72,0
2020 10 30 00:15:59,297,222,251,267,207,219,230,240,240,240,240,240,240,40,41,0.0875,71.1858,72,0
2020 10 30 00:16:04,297,222,251,267,207,219,230,240,240,240,240,240,240,40,41,0.0875,71.1977,72,0
2020 10 30 00:16:09,297,222,251,267,208,219,230,240,240,240,240,240,240,40,41,0.0875,71.1858,72,0
2020 10 30 00:16:14,297,222,251,267,208,219,230,240,240,240,240,240,240,40,41,0.0875,71.1977,72,0
2020 10 30 00:16:19,297,222,251,267,208,219,230,240,240,240,240,240,240,40,41,0.0875,71.2215,72,0
2020 10 30 00:16:24,297,222,251,267,208,219,230,240,240,240,240,240,240,40,41,0.0875,71.1977,72,0
2020 10 30 00:16:29,297,222,251,267,208,219,230,240,240,240,240,240,240,40,41,0.0875,71.2215,72,0
2020 10 30 00:16:34,297,222,251,267,208,219,230,240,240,240,240,240,240,40,41,0.0875,71.1977,72,0
2020 10 30 00:16:39,297,222,251,267,208,219,230,240,240,240,240,240,240,40,41,0.0438,71.1977,72,0
2020 10 30 00:16:44,297,222,251,267,208,219,230,240,240,240,240,240,240,40,41,0.0438,71.2096,72,0
2020 10 30 00:16:49,297,222,251,267,208,220,230,240,240,240,240,240,240,40,41,0.0438,71.1977,72,0
2020 10 30 00:16:54,297,222,251,267,208,220,230,240,240,240,240,239,240,40,41,0.0438,71.1977,72,0
2020 10 30 00:16:59,297,222,251,267,207,220,230,240,240,240,240,240,240,40,41,0,71.1977,72,0
2020 10 30 00:17:04,297,222,251,267,207,219,230,240,240,240,240,240,240,40,41,0,71.2215,72,0
2020 10 30 00:17:09,297,222,251,267,207,219,229,240,240,240,239,240,240,40,41,0,71.1858,72,0
2020 10 30 00:17:14,297,222,251,267,207,220,230,240,240,240,239,239,240,40,41,0,71.1977,72,0
2020 10 30 00:17:19,297,222,251,267,208,219,230,240,240,240,240,239,239,40,41,0,71.1977,72,0
2020 10 30 00:17:24,297,222,251,267,208,219,230,240,240,240,239,240,240,40,41,0,71.1858,72,0
2020 10 30 00:17:29,297,222,251,267,208,219,230,240,240,240,239,240,240,40,41,0,71.2096,72,0
2020 10 30 00:17:34,297,222,251,268,208,219,229,240,240,239,239,240,239,40,41,0,71.1977,72,0
2020 10 30 00:17:39,297,222,251,268,209,220,229,240,240,240,239,239,239,40,41,0,71.1739,72,0
2020 10 30 00:17:44,297,222,251,267,209,220,229,240,240,239,239,239,239,40,41,0,71.1858,72,0
2020 10 30 00:17:49,297,222,251,267,209,220,230,240,240,239,239,240,239,40,41,0,71.2215,72,0
2020 10 30 00:17:54,297,222,251,267,210,219,229,240,240,239,239,239,239,40,41,0,71.2096,72,0
2020 10 30 00:17:59,297,222,251,268,210,220,229,240,240,239,239,239,239,40,41,0,71.1977,72,0
2020 10 30 00:18:04,297,222,251,267,210,220,230,240,240,239,239,239,239,40,41,0,71.2215,72,0
2020 10 30 00:18:09,297,222,251,267,210,220,229,240,240,239,239,239,239,40,41,0,71.2215,72,0
2020 10 30 00:18:14,297,222,251,267,211,220,230,240,240,239,239,240,239,40,41,0,71.1739,72,0
2020 10 30 00:18:19,297,222,251,267,211,220,230,240,240,239,239,239,239,40,41,0,71.2215,72,0
2020 10 30 00:18:24,297,222,251,267,211,220,230,240,240,239,239,239,239,40,41,0,71.2215,72,0
2020 10 30 00:18:29,297,222,251,267,211,220,230,240,240,239,239,239,239,40,41,0,71.2096,72,0
2020 10 30 00:18:34,297,222,251,268,211,220,230,240,240,239,239,239,240,40,41,0,71.1739,72,0
2020 10 30 00:18:39,297,222,251,267,211,220,230,240,240,239,239,239,239,40,41,0,71.2096,72,0
2020 10 30 00:18:44,297,222,251,268,211,220,230,240,240,240,239,239,239,40,41,0,71.2215,72,0
2020 10 30 00:18:49,297,222,251,267,211,220,230,240,240,240,239,239,239,40,41,0,71.1858,72,0
2020 10 30 00:18:54,297,222,251,267,211,220,230,240,240,240,239,239,239,40,41,0,71.2215,72,0
2020 10 30 00:18:59,297,222,251,268,211,220,230,240,240,240,239,239,239,40,41,0,71.1977,72,0
2020 10 30 00:19:04,297,222,251,267,211,220,230,240,240,240,239,239,239,40,41,0,71.2096,72,0
2020 10 30 00:19:09,297,222,251,267,211,220,230,240,240,240,239,239,239,40,41,0,71.1977,72,0
2020 10 30 00:19:14,297,222,251,267,211,220,230,240,240,240,239,239,239,40,41,0,71.1977,72,0
2020 10 30 00:19:19,297,222,251,267,211,220,230,240,240,240,239,239,239,40,41,0,71.2096,72,0
2020 10 30 00:19:24,297,222,251,267,211,220,230,240,240,240,239,239,239,40,41,0,71.1977,72,0
2020 10 30 00:19:29,297,222,251,267,212,220,230,240,240,240,239,239,239,40,41,0,71.1739,72,0
2020 10 30 00:19:34,297,222,251,267,212,220,230,240,240,240,239,239,239,40,41,0,71.2215,72,0
2020 10 30 00:19:39,297,222,251,267,212,220,230,240,240,240,239,239,239,40,41,0,71.2215,72,0
2020 10 30 00:19:44,297,222,251,267,212,220,230,240,240,240,239,239,239,40,41,0,71.1858,72,0
2020 10 30 00:19:49,297,222,251,267,212,220,230,240,240,240,239,239,239,40,41,0,71.2334,72,0
2020 10 30 00:19:54,297,222,251,267,212,220,230,240,240,240,239,239,239,40,41,0,71.1977,72,0
2020 10 30 00:19:59,297,222,251,267,212,220,230,240,240,240,239,239,239,40,41,0,71.1858,72,0
2020 10 30 00:20:04,297,222,251,267,212,220,230,240,240,240,239,239,239,40,41,0,71.2215,72,0
2020 10 30 00:20:09,297,222,251,267,212,220,230,240,240,240,239,239,239,40,41,0,71.1977,72,0
2020 10 30 00:20:14,297,222,251,267,212,220,230,240,240,240,239,239,239,40,41,0,71.2215,72,0
2020 10 30 00:20:19,297,222,251,267,212,220,230,240,240,240,239,239,239,40,41,0,71.1977,72,0
2020 10 30 00:20:24,297,222,251,267,212,220,230,240,240,240,239,239,239,40,41,0,71.1739,72,0
2020 10 30 00:20:29,297,222,251,267,211,220,230,240,240,240,239,239,239,40,41,0,71.2096,72,0
2020 10 30 00:20:34,297,222,251,267,211,220,230,240,240,240,239,239,239,40,41,0,71.1977,72,0
2020 10 30 00:20:39,297,222,251,267,211,220,230,240,240,240,239,239,239,40,41,0,71.1858,72,0
2020 10 30 00:20:44,297,222,251,267,211,220,230,240,240,240,239,239,240,40,41,0,71.2096,72,0
2020 10 30 00:20:49,297,222,251,267,212,220,230,240,240,240,239,239,240,40,41,0,71.2096,72,0
